icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source,pulled_at
151da3,,Russian Federation,1783319092,1783319098,28.791,41.3414,723.9,False,118.01,32.72,15.28,792.48,,False,0,1783319101
151da3,AFL2139 ,Russian Federation,1783319399,1783319399,28.886,41.6936,4274.82,False,179.17,40.46,0.0,4434.84,5157,False,0,1783319400
151da3,AFL2139 ,Russian Federation,1783319660,1783319700,29.445,41.9157,7010.4,False,218.73,56.12,10.08,6880.86,5157,False,0,1783319704
151da3,AFL2139 ,Russian Federation,1783319796,1783319989,29.7531,42.0571,8915.4,False,238.75,95.44,6.83,8016.24,5157,False,0,1783320002
151da9,AFL2129 ,Russian Federation,1783316083,1783318494,38.0555,40.0866,11277.6,False,261.43,55.34,0.0,11163.3,0737,False,0,1783318496
151da9,AFL2129 ,Russian Federation,1783316083,1783318798,38.0555,40.0866,11285.22,False,261.43,55.34,0.0,11163.3,0737,False,0,1783318799
151da9,AFL2129 ,Russian Federation,1783316083,1783319098,38.0555,40.0866,11285.22,False,261.43,55.34,0.0,11163.3,0737,False,0,1783319101
151da9,AFL2129 ,Russian Federation,1783316083,1783319389,38.0555,40.0866,11277.6,False,261.43,55.34,0.0,11163.3,0737,False,0,1783319400
152069,SVR773  ,Russian Federation,1783318616,1783318729,33.691,44.3617,11582.4,False,4.74,257.47,0.0,10622.28,5513,False,0,1783318799
152069,SVR773  ,Russian Federation,1783318616,1783318929,33.691,44.3617,11582.4,False,4.74,257.47,0.0,10622.28,5513,False,0,1783319101
152073,SVR1574 ,Russian Federation,1783318799,1783318799,38.9149,40.3061,10668.0,False,264.1,56.28,0.0,11148.06,1041,False,0,1783318799
152073,SVR1574 ,Russian Federation,1783319100,1783319101,39.696,40.7,10668.0,False,263.11,56.81,0.0,11140.44,1041,False,0,1783319101
152073,SVR1574 ,Russian Federation,1783319399,1783319399,40.4775,41.0842,10668.0,False,262.86,57.31,0.0,11132.82,1041,False,0,1783319400
152073,SVR1574 ,Russian Federation,1783319703,1783319703,41.2779,41.4678,10668.0,False,260.06,57.85,0.0,11125.2,1041,False,0,1783319704
3c4581,BOX544  ,Germany,1783318431,1783318494,27.828,44.076,11277.6,False,259.74,122.46,0.33,11551.92,7667,False,0,1783318496
3c4581,BOX544  ,Germany,1783318431,1783318797,27.828,44.076,11277.6,False,259.74,122.46,0.33,11551.92,7667,False,0,1783318799
3c4581,BOX544  ,Germany,1783318431,1783319098,27.828,44.076,11277.6,False,259.74,122.46,0.33,11551.92,7667,False,0,1783319101
3c4581,BOX544  ,Germany,1783318431,1783319398,27.828,44.076,11277.6,False,259.74,122.46,0.33,11551.92,7667,False,0,1783319400
3c4581,BOX544  ,Germany,1783318431,1783319690,27.828,44.076,11277.6,False,259.74,122.46,0.33,11551.92,7667,False,0,1783319704
3c4581,BOX544  ,Germany,1783318431,1783319852,27.828,44.076,11277.6,False,259.74,122.46,0.33,11551.92,7667,False,0,1783320002
3c5642,BOX565  ,Germany,1783318495,1783318495,39.9779,41.4343,9753.6,False,228.64,267.42,0.0,10172.7,3205,False,0,1783318496
3c5642,BOX565  ,Germany,1783318798,1783318798,39.1504,41.4041,9753.6,False,228.77,266.78,0.0,10172.7,3205,False,0,1783318799
3c5642,BOX565  ,Germany,1783319100,1783319100,38.328,41.3671,9753.6,False,227.84,266.38,0.0,10157.46,3205,False,0,1783319101
3c5642,BOX565  ,Germany,1783319398,1783319399,37.5182,41.325,9753.6,False,228.56,267.94,0.0,10149.84,3205,False,0,1783319400
3c5642,BOX565  ,Germany,1783319702,1783319703,36.7113,41.4755,9753.6,False,229.66,285.59,0.0,10134.6,3205,False,0,1783319704
3c5642,BOX565  ,Germany,1783319850,1783319884,36.322,41.5559,9753.6,False,227.76,285.32,0.0,10119.36,3205,False,0,1783320002
4242f4,AHY021  ,United Kingdom,1783319400,1783319400,40.5674,40.0141,11582.4,False,203.55,266.67,-0.33,12176.76,1315,False,0,1783319400
4246b4,AHY107  ,United Kingdom,1783316467,1783318492,33.6902,44.3636,10363.2,False,4.12,270.0,0.0,9410.7,3272,False,0,1783318496
4246b4,AHY107  ,United Kingdom,1783316467,1783318797,33.6902,44.3636,10386.06,False,4.12,270.0,0.0,9410.7,3272,False,0,1783318799
4246b4,AHY107  ,United Kingdom,1783316467,1783319098,33.6902,44.3636,10363.2,False,4.12,270.0,0.0,9410.7,3272,False,0,1783319101
4246b4,AHY107  ,United Kingdom,1783316467,1783319398,33.6902,44.3636,10370.82,False,4.12,270.0,0.0,9410.7,3272,False,0,1783319400
4246b4,AHY107  ,United Kingdom,1783316467,1783319698,33.6902,44.3636,10370.82,False,4.12,270.0,0.0,9410.7,3272,False,0,1783319704
4246b7,AHY071  ,United Kingdom,1783320001,1783320001,41.2763,41.472,10370.82,False,215.64,268.36,0.0,10843.26,2357,False,0,1783320002
46b833,AEE990  ,Greece,1783318495,1783318496,28.6105,40.9631,1203.96,False,105.58,67.06,0.0,1295.4,2062,False,0,1783318496
46b833,AEE990  ,Greece,1783318799,1783318799,28.7292,41.1841,541.02,False,82.34,358.57,-3.9,640.08,2062,False,0,1783318799
46b833,AEE990  ,Greece,1783318847,1783318848,28.7286,41.2187,335.28,False,77.69,359.24,-3.9,403.86,2062,False,0,1783319101
4892c7,ENT4096 ,Poland,1783318475,1783318495,27.3005,43.7046,11582.4,False,219.3,318.04,0.33,11894.82,1000,False,0,1783318496
4892c7,ENT4096 ,Poland,1783318475,1783318797,27.3005,43.7046,11582.4,False,219.3,318.04,0.33,11894.82,1000,False,0,1783318799
4892c7,ENT4096 ,Poland,1783318475,1783319100,27.3005,43.7046,11582.4,False,219.3,318.04,0.33,11894.82,1000,False,0,1783319101
4892c7,ENT4096 ,Poland,1783318475,1783319397,27.3005,43.7046,11582.4,False,219.3,318.04,0.33,11894.82,1000,False,0,1783319400
4892c7,ENT4096 ,Poland,1783318475,1783319702,27.3005,43.7046,11582.4,False,219.3,318.04,0.33,11894.82,1000,False,0,1783319704
4892c7,ENT4096 ,Poland,1783318475,1783319999,27.3005,43.7046,11582.4,False,219.3,318.04,0.33,11894.82,1000,False,0,1783320002
48af0b,LOT6603 ,Poland,1783318494,1783318495,27.2744,41.1164,11277.6,False,244.32,145.21,-0.33,11681.46,5556,False,0,1783318496
48af0b,LOT6603 ,Poland,1783318798,1783318798,27.7288,40.551,11277.6,False,242.92,150.01,0.0,11711.94,5556,False,0,1783318799
4a5243,TOY211  ,Romania,1783318278,1783318495,28.7367,43.769,10774.68,False,215.56,179.45,8.45,8702.04,5574,False,0,1783318496
4a5243,TOY211  ,Romania,1783318278,1783318796,28.7367,43.769,12954.0,False,215.56,179.45,8.45,8702.04,5574,False,0,1783318799
4a5243,TOY211  ,Romania,1783318278,1783319099,28.7367,43.769,13716.0,False,215.56,179.45,8.45,8702.04,5574,False,0,1783319101
4a5243,TOY211  ,Romania,1783318278,1783319398,28.7367,43.769,13723.62,False,215.56,179.45,8.45,8702.04,5574,False,0,1783319400
4a5243,TOY211  ,Romania,1783318278,1783319703,28.7367,43.769,13716.0,False,215.56,179.45,8.45,8702.04,5574,False,0,1783319704
4a5243,TOY211  ,Romania,1783320001,1783320002,29.512,40.2837,13723.62,False,231.95,172.48,-0.33,14249.4,5574,False,0,1783320002
4aca12,NSZ3780 ,Sweden,1783318495,1783318495,27.6295,42.7872,1607.82,False,124.68,119.95,-2.28,1714.5,7623,False,0,1783318496
4aca12,NSZ3780 ,Sweden,1783318548,1783318552,27.6877,42.7486,1356.36,False,115.69,134.28,-6.18,1455.42,7623,False,0,1783318799
4b8504,TCAHD   ,Turkey,1783318768,1783318768,28.5067,41.1044,419.1,False,37.73,154.13,-2.93,487.68,,False,0,1783318799
4b8504,TCAHD   ,Turkey,1783319049,1783319049,28.5496,41.1356,304.8,False,55.85,238.95,-0.98,365.76,,False,0,1783319101
4b8507,TCAHG   ,Turkey,1783318228,1783318228,28.4857,41.0705,327.66,False,45.1,55.22,-3.25,381.0,,False,0,1783318496
4b8de8,CAI14JW ,Turkey,1783318495,1783318495,29.9273,40.6815,10363.2,False,224.98,338.54,0.0,10759.44,6306,False,0,1783318496
4b8de8,CAI14JW ,Turkey,1783318795,1783318795,29.6351,41.2447,10363.2,False,224.5,338.49,-0.33,10728.96,6306,False,0,1783318799
4b8de8,CAI14JW ,Turkey,1783318795,1783319100,29.6351,41.2447,10363.2,False,224.5,338.49,-0.33,10728.96,6306,False,0,1783319101
4b8de8,CAI14JW ,Turkey,1783318795,1783319399,29.6351,41.2447,10363.2,False,224.5,338.49,-0.33,10728.96,6306,False,0,1783319400
4b8de8,CAI14JW ,Turkey,1783318795,1783319702,29.6351,41.2447,10363.2,False,224.5,338.49,-0.33,10728.96,6306,False,0,1783319704
4b8de8,CAI14JW ,Turkey,1783318795,1783320001,29.6351,41.2447,10363.2,False,224.5,338.49,-0.33,10728.96,6306,False,0,1783320002
